"film_id","category_id","last_update"
1,6,"2020-02-15 12:07:09+02"
2,11,"2020-02-15 12:07:09+02"
3,6,"2020-02-15 12:07:09+02"
4,11,"2020-02-15 12:07:09+02"
5,8,"2020-02-15 12:07:09+02"
6,9,"2020-02-15 12:07:09+02"
7,5,"2020-02-15 12:07:09+02"
8,11,"2020-02-15 12:07:09+02"
9,11,"2020-02-15 12:07:09+02"
10,15,"2020-02-15 12:07:09+02"
11,9,"2020-02-15 12:07:09+02"
12,12,"2020-02-15 12:07:09+02"
13,11,"2020-02-15 12:07:09+02"
14,4,"2020-02-15 12:07:09+02"
15,9,"2020-02-15 12:07:09+02"
16,9,"2020-02-15 12:07:09+02"
17,12,"2020-02-15 12:07:09+02"
18,2,"2020-02-15 12:07:09+02"
19,1,"2020-02-15 12:07:09+02"
20,12,"2020-02-15 12:07:09+02"
21,1,"2020-02-15 12:07:09+02"
22,13,"2020-02-15 12:07:09+02"
23,2,"2020-02-15 12:07:09+02"
24,11,"2020-02-15 12:07:09+02"
25,13,"2020-02-15 12:07:09+02"
26,14,"2020-02-15 12:07:09+02"
27,15,"2020-02-15 12:07:09+02"
28,5,"2020-02-15 12:07:09+02"
29,1,"2020-02-15 12:07:09+02"
30,11,"2020-02-15 12:07:09+02"
31,8,"2020-02-15 12:07:09+02"
32,13,"2020-02-15 12:07:09+02"
33,7,"2020-02-15 12:07:09+02"
34,11,"2020-02-15 12:07:09+02"
35,11,"2020-02-15 12:07:09+02"
36,2,"2020-02-15 12:07:09+02"
37,4,"2020-02-15 12:07:09+02"
38,1,"2020-02-15 12:07:09+02"
39,14,"2020-02-15 12:07:09+02"
40,6,"2020-02-15 12:07:09+02"
41,16,"2020-02-15 12:07:09+02"
42,15,"2020-02-15 12:07:09+02"
43,8,"2020-02-15 12:07:09+02"
44,14,"2020-02-15 12:07:09+02"
45,13,"2020-02-15 12:07:09+02"
46,10,"2020-02-15 12:07:09+02"
47,9,"2020-02-15 12:07:09+02"
48,3,"2020-02-15 12:07:09+02"
49,14,"2020-02-15 12:07:09+02"
50,8,"2020-02-15 12:07:09+02"
51,12,"2020-02-15 12:07:09+02"
52,9,"2020-02-15 12:07:09+02"
53,8,"2020-02-15 12:07:09+02"
54,12,"2020-02-15 12:07:09+02"
55,14,"2020-02-15 12:07:09+02"
56,1,"2020-02-15 12:07:09+02"
57,16,"2020-02-15 12:07:09+02"
58,6,"2020-02-15 12:07:09+02"
59,3,"2020-02-15 12:07:09+02"
60,4,"2020-02-15 12:07:09+02"
61,7,"2020-02-15 12:07:09+02"
62,6,"2020-02-15 12:07:09+02"
63,8,"2020-02-15 12:07:09+02"
64,7,"2020-02-15 12:07:09+02"
65,11,"2020-02-15 12:07:09+02"
66,3,"2020-02-15 12:07:09+02"
67,1,"2020-02-15 12:07:09+02"
68,3,"2020-02-15 12:07:09+02"
69,14,"2020-02-15 12:07:09+02"
70,2,"2020-02-15 12:07:09+02"
71,8,"2020-02-15 12:07:09+02"
72,6,"2020-02-15 12:07:09+02"
73,14,"2020-02-15 12:07:09+02"
74,12,"2020-02-15 12:07:09+02"
75,16,"2020-02-15 12:07:09+02"
76,12,"2020-02-15 12:07:09+02"
77,13,"2020-02-15 12:07:09+02"
78,2,"2020-02-15 12:07:09+02"
79,7,"2020-02-15 12:07:09+02"
80,8,"2020-02-15 12:07:09+02"
81,14,"2020-02-15 12:07:09+02"
82,8,"2020-02-15 12:07:09+02"
83,8,"2020-02-15 12:07:09+02"
84,16,"2020-02-15 12:07:09+02"
85,6,"2020-02-15 12:07:09+02"
86,12,"2020-02-15 12:07:09+02"
87,16,"2020-02-15 12:07:09+02"
88,16,"2020-02-15 12:07:09+02"
89,2,"2020-02-15 12:07:09+02"
90,13,"2020-02-15 12:07:09+02"
91,4,"2020-02-15 12:07:09+02"
92,11,"2020-02-15 12:07:09+02"
93,13,"2020-02-15 12:07:09+02"
94,8,"2020-02-15 12:07:09+02"
95,13,"2020-02-15 12:07:09+02"
96,13,"2020-02-15 12:07:09+02"
97,1,"2020-02-15 12:07:09+02"
98,7,"2020-02-15 12:07:09+02"
99,5,"2020-02-15 12:07:09+02"
100,9,"2020-02-15 12:07:09+02"
101,6,"2020-02-15 12:07:09+02"
102,15,"2020-02-15 12:07:09+02"
103,16,"2020-02-15 12:07:09+02"
104,9,"2020-02-15 12:07:09+02"
105,1,"2020-02-15 12:07:09+02"
106,10,"2020-02-15 12:07:09+02"
107,7,"2020-02-15 12:07:09+02"
108,13,"2020-02-15 12:07:09+02"
109,13,"2020-02-15 12:07:09+02"
110,3,"2020-02-15 12:07:09+02"
111,1,"2020-02-15 12:07:09+02"
112,9,"2020-02-15 12:07:09+02"
113,15,"2020-02-15 12:07:09+02"
114,14,"2020-02-15 12:07:09+02"
115,1,"2020-02-15 12:07:09+02"
