"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
16050,269,2,7,1.99,"2020-01-24 23:40:19.996577+02"
16051,269,1,98,0.99,"2020-01-25 17:16:50.996577+02"
16052,269,2,678,6.99,"2020-01-28 23:44:14.996577+02"
16053,269,2,703,0.99,"2020-01-29 02:58:02.996577+02"
16054,269,1,750,4.99,"2020-01-29 10:10:06.996577+02"
16055,269,2,1099,2.99,"2020-01-31 14:23:14.996577+02"
16056,270,1,193,1.99,"2020-01-26 07:10:14.996577+02"
16057,270,1,1040,4.99,"2020-01-31 06:03:42.996577+02"
16058,271,1,1096,8.99,"2020-01-31 13:59:15.996577+02"
16059,272,1,33,0.99,"2020-01-25 04:47:17.996577+02"
16060,272,1,405,6.99,"2020-01-27 14:01:05.996577+02"
16061,272,1,1041,6.99,"2020-01-31 06:14:49.996577+02"
16062,272,1,1072,0.99,"2020-01-31 10:21:16.996577+02"
16063,273,2,122,3.99,"2020-01-25 20:14:47.996577+02"
16064,273,2,980,0.99,"2020-01-30 22:13:45.996577+02"
16065,274,1,147,2.99,"2020-01-26 00:46:16.996577+02"
16066,274,1,208,4.99,"2020-01-26 08:38:48.996577+02"
16067,274,2,301,2.99,"2020-01-26 21:34:40.996577+02"
16068,274,1,394,5.99,"2020-01-27 11:54:37.996577+02"
16069,274,2,474,2.99,"2020-01-27 22:40:22.996577+02"
16070,274,1,892,4.99,"2020-01-30 08:31:22.996577+02"
16071,275,2,336,2.99,"2020-01-27 03:43:49.996577+02"
16072,276,1,736,3.99,"2020-01-29 08:38:33.996577+02"
16073,276,1,860,10.99,"2020-01-30 03:13:42.996577+02"
16074,277,2,308,6.99,"2020-01-26 22:30:05.996577+02"
16075,278,1,1092,4.99,"2020-01-31 12:44:23.996577+02"
16076,279,1,979,2.99,"2020-01-30 22:05:37.996577+02"
16077,279,2,1019,0.99,"2020-01-31 03:33:33.996577+02"
16078,280,1,1014,4.99,"2020-01-31 03:07:42.996577+02"
16079,281,2,650,2.99,"2020-01-28 20:14:06.996577+02"
16080,281,2,754,2.99,"2020-01-29 10:47:25.996577+02"
16081,282,2,48,1.99,"2020-01-25 06:49:12.996577+02"
16082,282,2,282,6.99,"2020-01-26 19:24:52.996577+02"
16083,282,2,564,0.99,"2020-01-28 09:40:35.996577+02"
16084,284,2,423,0.99,"2020-01-27 16:01:23.996577+02"
16085,284,2,791,0.99,"2020-01-29 16:59:08.996577+02"
16086,284,1,1145,6.99,"2020-01-31 20:42:11.996577+02"
16087,286,2,81,6.99,"2020-01-25 12:43:45.996577+02"
16088,287,2,498,0.99,"2020-01-28 01:29:47.996577+02"
16089,287,1,655,2.99,"2020-01-28 20:44:46.996577+02"
16090,287,2,964,2.99,"2020-01-30 19:21:47.996577+02"
16091,288,2,93,3.99,"2020-01-25 16:22:42.996577+02"
16092,288,2,427,6.99,"2020-01-27 16:38:30.996577+02"
16093,288,1,503,4.99,"2020-01-28 02:03:51.996577+02"
16094,288,2,565,5.99,"2020-01-28 09:54:57.996577+02"
16095,290,1,160,2.99,"2020-01-26 02:14:46.996577+02"
16096,291,1,54,4.99,"2020-01-25 07:51:51.996577+02"
16097,291,2,747,4.99,"2020-01-29 09:55:00.996577+02"
16098,291,1,1012,2.99,"2020-01-31 02:46:31.996577+02"
16099,292,1,324,0.99,"2020-01-27 01:28:30.996577+02"
16100,293,2,445,0.99,"2020-01-27 19:11:23.996577+02"
16101,293,1,924,4.99,"2020-01-30 12:39:25.996577+02"
16102,293,2,1034,8.99,"2020-01-31 05:22:06.996577+02"
16103,294,1,595,1.99,"2020-01-28 14:28:20.996577+02"
16104,295,2,371,3.99,"2020-01-27 08:36:44.996577+02"
16105,296,2,162,4.99,"2020-01-26 02:30:31.996577+02"
16106,296,1,511,5.99,"2020-01-28 03:32:30.996577+02"
16107,296,1,869,4.99,"2020-01-30 04:50:32.996577+02"
16108,296,2,956,2.99,"2020-01-30 17:58:54.996577+02"
16109,297,2,143,0.99,"2020-01-26 00:14:18.996577+02"
16110,297,1,954,3.99,"2020-01-30 17:25:55.996577+02"
16111,298,1,383,3.99,"2020-01-27 10:40:46.996577+02"
16112,299,1,332,5.99,"2020-01-27 02:55:36.996577+02"
16113,299,2,606,8.99,"2020-01-28 15:17:05.996577+02"
16114,300,2,457,0.99,"2020-01-27 20:20:55.996577+02"
16115,300,1,780,3.99,"2020-01-29 14:46:58.996577+02"
16116,300,1,1111,4.99,"2020-01-31 15:52:45.996577+02"
16117,301,2,27,4.99,"2020-01-25 04:10:16.996577+02"
16118,301,2,227,5.99,"2020-01-26 11:20:12.996577+02"
16119,301,1,955,0.99,"2020-01-30 17:27:29.996577+02"
16120,302,2,38,4.99,"2020-01-25 05:16:10.996577+02"
16121,302,2,92,5.99,"2020-01-25 16:07:12.996577+02"
16122,303,1,265,0.99,"2020-01-26 16:36:04.996577+02"
16123,303,1,871,2.99,"2020-01-30 05:29:56.996577+02"
16124,303,2,1050,4.99,"2020-01-31 07:29:53.996577+02"
16125,304,1,135,10.99,"2020-01-25 22:27:24.996577+02"
16126,304,1,415,0.99,"2020-01-27 15:20:11.996577+02"
16127,304,2,937,2.99,"2020-01-30 15:15:57.996577+02"
16128,305,2,69,2.99,"2020-01-25 10:38:40.996577+02"
16129,306,2,375,3.99,"2020-01-27 09:17:47.996577+02"
16130,306,2,672,6.99,"2020-01-28 22:33:55.996577+02"
16131,307,2,413,4.99,"2020-01-27 15:14:03.996577+02"
16132,307,1,535,4.99,"2020-01-28 06:44:58.996577+02"
16133,307,1,614,1.99,"2020-01-28 16:01:54.996577+02"
16134,307,1,970,6.99,"2020-01-30 20:18:54.996577+02"
16135,308,2,589,3.99,"2020-01-28 12:56:16.996577+02"
16136,309,2,218,6.99,"2020-01-26 09:55:35.996577+02"
16137,309,2,723,0.99,"2020-01-29 06:03:10.996577+02"
16138,310,2,104,0.99,"2020-01-25 18:14:59.996577+02"
