"flight_id","departure_airport","sum"
20981,"AAQ","00:02:00"
20982,"AAQ","00:04:00"
20983,"AAQ","00:04:00"
20984,"AAQ","00:04:00"
20985,"AAQ","00:04:00"
20986,"AAQ","03:21:00"
20987,"AAQ","03:21:00"
20988,"AAQ","03:21:00"
20989,"AAQ","03:21:00"
20990,"AAQ","03:21:00"
20991,"AAQ","03:25:00"
20992,"AAQ","03:25:00"
20993,"AAQ","03:27:00"
20994,"AAQ","03:31:00"
20995,"AAQ","03:31:00"
20996,"AAQ","03:31:00"
20997,"AAQ","03:37:00"
20998,"AAQ","03:37:00"
20999,"AAQ","03:42:00"
21000,"AAQ","03:45:00"
21001,"AAQ","03:45:00"
21002,"AAQ","03:46:00"
21003,"AAQ","03:46:00"
21004,"AAQ","03:46:00"
21005,"AAQ","03:46:00"
21006,"AAQ","06:31:00"
21007,"AAQ","06:32:00"
21008,"AAQ","06:32:00"
21009,"AAQ","06:32:00"
21010,"AAQ","06:32:00"
21011,"AAQ","06:32:00"
21012,"AAQ","06:37:00"
21013,"AAQ","06:41:00"
21014,"AAQ","06:41:00"
21015,"AAQ","06:41:00"
21016,"AAQ","06:40:00"
21017,"AAQ","06:40:00"
21018,"AAQ","06:40:00"
21019,"AAQ","06:44:00"
21020,"AAQ","06:44:00"
21021,"AAQ","06:44:00"
21022,"AAQ","06:47:00"
21023,"AAQ","06:47:00"
21024,"AAQ","06:47:00"
21025,"AAQ","06:56:00"
21026,"AAQ","06:56:00"
21027,"AAQ","06:59:00"
21028,"AAQ","07:04:00"
21029,"AAQ","07:09:00"
21030,"AAQ","07:09:00"
21031,"AAQ","07:12:00"
21032,"AAQ","07:12:00"
21033,"AAQ","07:15:00"
21034,"AAQ","07:15:00"
21035,"AAQ","07:15:00"
21036,"AAQ","07:15:00"
21037,"AAQ","07:18:00"
21038,"AAQ","07:24:00"
21039,"AAQ","07:27:00"
21040,"AAQ","07:33:00"
21041,"AAQ","07:36:00"
21042,"AAQ","10:48:00"
21043,"AAQ","10:48:00"
21044,"AAQ","10:46:00"
21045,"AAQ","10:46:00"
21046,"AAQ","10:49:00"
21047,"AAQ","10:49:00"
21048,"AAQ","10:48:00"
21049,"AAQ","10:57:00"
21050,"AAQ","10:57:00"
21051,"AAQ","10:57:00"
21052,"AAQ","10:58:00"
21053,"AAQ","10:58:00"
21054,"AAQ","10:58:00"
21055,"AAQ","10:58:00"
21056,"AAQ","10:58:00"
21057,"AAQ","11:03:00"
21058,"AAQ","11:04:00"
21059,"AAQ","11:04:00"
21060,"AAQ","11:05:00"
21061,"AAQ","11:08:00"
21062,"AAQ","11:08:00"
21063,"AAQ","11:08:00"
21064,"AAQ","11:08:00"
21065,"AAQ","11:10:00"
21066,"AAQ","11:10:00"
21067,"AAQ","11:15:00"
21068,"AAQ","11:20:00"
21069,"AAQ","11:24:00"
21070,"AAQ","11:24:00"
21071,"AAQ","11:26:00"
