"flight_id","departure_airport","sum"
1,"DME","00:09:00"
2,"DME","00:10:00"
3,"DME","00:14:00"
4,"DME","00:14:00"
5,"DME","00:14:00"
6,"DME","00:14:00"
7,"DME","00:14:00"
8,"DME","00:14:00"
9,"DME","00:14:00"
10,"DME","00:14:00"
11,"DME","00:14:00"
12,"DME","00:14:00"
13,"DME","00:14:00"
14,"DME","00:17:00"
15,"DME","00:23:00"
16,"DME","00:25:00"
17,"DME","00:25:00"
18,"DME","00:30:00"
19,"DME","00:32:00"
20,"DME","00:35:00"
21,"DME","00:36:00"
22,"DME","00:36:00"
23,"DME","00:41:00"
24,"DME","00:45:00"
25,"DME","00:51:00"
26,"DME","03:58:00"
27,"DME","04:00:00"
28,"DME","04:00:00"
29,"DME","04:03:00"
30,"DME","04:06:00"
31,"DME","04:06:00"
32,"DME","04:06:00"
33,"DME","04:06:00"
34,"DME","04:10:00"
35,"DME","04:14:00"
36,"DME","04:18:00"
37,"DME","04:22:00"
38,"DME","04:22:00"
39,"DME","04:22:00"
40,"DME","04:22:00"
41,"DME","04:22:00"
42,"DME","04:22:00"
43,"DME","04:22:00"
44,"DME","04:22:00"
45,"DME","04:22:00"
46,"DME","04:25:00"
47,"DME","04:25:00"
48,"DME","04:30:00"
49,"DME","04:34:00"
50,"DME","04:35:00"
51,"DME","04:35:00"
52,"DME","07:34:00"
53,"DME","07:34:00"
54,"DME","07:39:00"
55,"DME","07:42:00"
56,"DME","11:05:00"
57,"DME","11:09:00"
58,"DME","11:09:00"
59,"DME","11:12:00"
60,"DME","11:14:00"
61,"DME","15:04:00"
62,"DME","15:07:00"
63,"DME","15:07:00"
64,"DME","15:07:00"
65,"DME","15:07:00"
66,"DME","15:07:00"
67,"DME","15:08:00"
68,"DME","15:08:00"
69,"DME","15:08:00"
70,"DME","15:08:00"
71,"DME","15:08:00"
72,"DME","15:11:00"
73,"DME","15:18:00"
74,"DME","18:31:00"
75,"DME","18:36:00"
76,"DME","18:36:00"
77,"DME","18:36:00"
78,"DME","18:36:00"
79,"DME","18:36:00"
80,"DME","18:36:00"
81,"DME","18:36:00"
82,"DME","18:41:00"
83,"DME","22:12:00"
84,"DME","22:15:00"
85,"DME","22:21:00"
86,"DME","22:24:00"
87,"DME","22:30:00"
88,"DME","22:32:00"
89,"DME","22:37:00"
90,"DME","22:37:00"
91,"DME","22:40:00"
92,"DME","22:40:00"
93,"DME","22:41:00"
94,"DME","22:41:00"
95,"DME","22:41:00"
96,"DME","22:46:00"
97,"DME","22:46:00"
98,"DME","22:46:00"
99,"DME","22:46:00"
100,"DME","22:46:00"
101,"DME","22:46:00"
102,"DME","22:46:00"
103,"DME","22:46:00"
104,"DME","22:46:00"
105,"DME","22:46:00"
106,"DME","22:49:00"
107,"DME","22:50:00"
108,"DME","22:54:00"
109,"DME","22:55:00"
110,"DME","22:58:00"
111,"DME","22:58:00"
112,"DME","22:58:00"
113,"DME","23:00:00"
114,"DME","23:04:00"
115,"DME","23:04:00"
116,"DME","23:04:00"
117,"DME","23:04:00"
118,"DME","23:04:00"
119,"DME","23:04:00"
120,"DME","23:04:00"
121,"DME","23:04:00"
122,"DME","23:04:00"
123,"DME","23:06:00"
124,"DME","23:06:00"
125,"DME","23:08:00"
126,"DME","23:09:00"
127,"DME","23:09:00"
128,"DME","23:09:00"
129,"DME","23:15:00"
130,"DME","23:15:00"
131,"DME","23:18:00"
132,"DME","23:22:00"
133,"DME","23:22:00"
134,"DME","23:22:00"
135,"DME","23:22:00"
136,"DME","23:22:00"
137,"DME","23:22:00"
138,"DME","23:22:00"
139,"DME","23:27:00"
140,"DME","23:29:00"
141,"DME","23:35:00"
142,"DME","23:35:00"
143,"DME","23:35:00"
144,"DME","23:35:00"
145,"DME","23:35:00"
146,"DME","23:35:00"
147,"DME","23:35:00"
148,"DME","23:35:00"
149,"DME","23:35:00"
150,"DME","23:35:00"
151,"DME","23:35:00"
152,"DME","23:37:00"
153,"DME","23:39:00"
154,"DME","23:43:00"
155,"DME","23:47:00"
156,"DME","23:47:00"
157,"DME","23:53:00"
158,"DME","23:54:00"
159,"DME","23:54:00"
160,"DME","24:00:00"
161,"DME","24:00:00"
162,"DME","24:00:00"
163,"DME","24:00:00"
164,"DME","24:00:00"
165,"DME","24:00:00"
166,"DME","24:00:00"
167,"DME","24:01:00"
168,"DME","24:01:00"
169,"DME","24:01:00"
170,"DME","24:01:00"
171,"DME","24:01:00"
172,"DME","24:01:00"
173,"DME","24:03:00"
174,"DME","24:11:00"
175,"DME","24:15:00"
176,"DME","24:18:00"
177,"DME","24:18:00"
178,"DME","24:18:00"
179,"DME","24:18:00"
180,"DME","24:20:00"
181,"DME","24:22:00"
182,"DME","24:26:00"
183,"DME","24:29:00"
184,"DME","24:30:00"
185,"DME","24:36:00"
186,"DME","24:40:00"
187,"DME","24:40:00"
188,"DME","24:40:00"
189,"DME","24:40:00"
190,"DME","24:40:00"
191,"DME","27:57:00"
192,"DME","27:59:00"
193,"DME","30:52:00"
194,"DME","30:56:00"
195,"DME","30:56:00"
196,"DME","30:56:00"
197,"DME","30:56:00"
198,"DME","30:56:00"
199,"DME","30:56:00"
200,"DME","30:56:00"
