"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
16167,322,2,166,0.99,"2020-01-26 03:17:37.996577+02"
16168,322,1,269,4.99,"2020-01-26 16:48:12.996577+02"
16199,346,1,65,4.99,"2020-01-25 10:00:29.996577+02"
16200,346,1,810,4.99,"2020-01-29 19:40:30.996577+02"
16209,354,1,140,0.99,"2020-01-26 00:02:48.996577+02"
16210,354,2,158,1.99,"2020-01-26 01:55:37.996577+02"
16211,354,2,402,0.99,"2020-01-27 13:45:44.996577+02"
17417,322,1,1386,2.99,"2020-02-15 16:07:24.996577+02"
17418,322,1,1588,8.99,"2020-02-16 05:21:47.996577+02"
17419,322,2,2481,4.99,"2020-02-18 21:36:56.996577+02"
17420,322,1,2554,0.99,"2020-02-19 03:34:04.996577+02"
17421,322,1,2983,7.99,"2020-02-20 09:10:08.996577+02"
17422,322,2,3054,5.99,"2020-02-20 13:45:07.996577+02"
17423,322,2,3413,8.99,"2020-02-21 17:25:33.996577+02"
17526,346,1,1994,5.99,"2020-02-17 11:35:32.996577+02"
17527,346,2,3372,2.99,"2020-02-21 14:02:45.996577+02"
17528,346,1,3421,2.99,"2020-02-21 17:51:24.996577+02"
17556,354,1,1491,0.99,"2020-02-15 22:16:44.996577+02"
17557,354,1,2275,4.99,"2020-02-18 06:59:55.996577+02"
17558,354,1,2769,6.99,"2020-02-19 18:20:40.996577+02"
17559,354,1,3139,2.99,"2020-02-20 20:13:11.996577+02"
20022,322,2,11120,4.99,"2020-03-02 09:15:30.996577+02"
20023,322,2,11456,0.99,"2020-03-02 21:42:30.996577+02"
20024,322,2,13180,4.99,"2020-03-19 14:29:04.996577+02"
20025,322,1,13650,9.99,"2020-03-20 08:17:32.996577+02"
20026,322,2,14042,4.99,"2020-03-20 22:14:17.996577+02"
20027,322,1,15450,0.99,"2020-03-23 01:24:27.996577+02"
20028,322,2,15703,8.99,"2020-03-23 10:52:14.996577+02"
20246,346,1,10304,5.99,"2020-03-01 04:42:38.996577+02"
20247,346,2,10389,3.99,"2020-03-01 07:15:09.996577+02"
20248,346,2,10521,0.99,"2020-03-01 12:14:43.996577+02"
20249,346,2,11062,4.99,"2020-03-02 07:21:20.996577+02"
20250,346,1,11375,4.99,"2020-03-02 18:43:22.996577+02"
20251,346,2,11470,2.99,"2020-03-02 22:16:54.996577+02"
20252,346,1,14890,5.99,"2020-03-22 04:39:15.996577+02"
20253,346,2,15459,2.99,"2020-03-23 01:38:14.996577+02"
20254,346,1,15535,0.99,"2020-03-23 04:26:28.996577+02"
20255,346,1,15661,8.99,"2020-03-23 09:20:29.996577+02"
20256,346,2,15825,5.99,"2020-03-23 15:39:08.996577+02"
20257,346,1,15827,0.99,"2020-03-23 15:43:45.996577+02"
20324,354,1,10420,6.99,"2020-03-01 08:42:19.996577+02"
20325,354,2,12243,6.99,"2020-03-18 04:07:20.996577+02"
20326,354,1,12544,3.99,"2020-03-18 14:54:17.996577+02"
20327,354,1,12998,4.99,"2020-03-19 08:00:42.996577+02"
20328,354,2,14212,2.99,"2020-03-21 04:57:52.996577+02"
20329,354,2,14245,0.99,"2020-03-21 05:59:20.996577+02"
20330,354,1,14840,5.99,"2020-03-22 02:27:08.996577+02"
20331,354,2,15956,0.99,"2020-03-23 19:47:47.996577+02"
25783,322,1,3478,0.99,"2020-04-05 22:34:10.996577+02"
25784,322,2,3627,1.99,"2020-04-06 05:47:51.996577+02"
25785,322,1,3646,4.99,"2020-04-06 06:57:25.996577+02"
25786,322,2,6033,2.99,"2020-04-11 02:28:00.996577+02"
25787,322,1,6511,3.99,"2020-04-12 03:07:55.996577+02"
25788,322,2,6673,0.99,"2020-04-12 11:19:22.996577+02"
25789,322,2,6709,4.99,"2020-04-12 12:49:07.996577+02"
25790,322,1,7091,4.99,"2020-04-27 04:12:36.996577+02"
25791,322,2,8142,4.99,"2020-04-28 19:50:20.996577+02"
25792,322,1,9104,7.99,"2020-04-30 08:18:21.996577+02"
25793,322,1,9115,4.99,"2020-04-30 08:42:21.996577+02"
25794,322,1,9252,1.99,"2020-04-30 13:48:25.996577+02"
26052,346,2,4420,4.99,"2020-04-07 21:35:57.996577+02"
26053,346,1,4958,8.99,"2020-04-08 22:48:18.996577+02"
26054,346,1,5428,4.99,"2020-04-09 20:41:16.996577+02"
26055,346,2,5557,4.99,"2020-04-10 02:38:47.996577+02"
26056,346,2,6136,4.99,"2020-04-11 08:02:35.996577+02"
26057,346,2,6323,2.99,"2020-04-11 18:30:45.996577+02"
26058,346,2,6881,8.99,"2020-04-12 20:15:01.996577+02"
26059,346,2,7943,6.99,"2020-04-28 12:19:21.996577+02"
26060,346,2,8272,5.99,"2020-04-29 00:58:17.996577+02"
26061,346,1,8505,6.99,"2020-04-29 08:51:18.996577+02"
26062,346,2,8543,0.99,"2020-04-29 10:30:23.996577+02"
26063,346,2,8732,8.99,"2020-04-29 17:53:29.996577+02"
26064,346,2,9566,4.99,"2020-04-30 02:00:36.996577+02"
26065,346,1,9848,4.99,"2020-04-30 12:12:59.996577+02"
26066,346,1,9927,2.99,"2020-04-30 14:40:39.996577+02"
26147,354,2,3821,2.99,"2020-04-06 15:04:46.996577+02"
26148,354,2,4034,0.99,"2020-04-07 02:04:59.996577+02"
26149,354,1,4449,5.99,"2020-04-07 22:47:24.996577+02"
26150,354,2,4745,2.99,"2020-04-08 13:13:35.996577+02"
26151,354,1,5354,4.99,"2020-04-09 17:32:59.996577+02"
26152,354,2,5556,4.99,"2020-04-10 02:38:43.996577+02"
26153,354,1,5873,3.99,"2020-04-10 18:30:36.996577+02"
26154,354,1,6054,0.99,"2020-04-11 03:27:05.996577+02"
26155,354,1,6838,4.99,"2020-04-12 18:29:56.996577+02"
26156,354,1,6926,0.99,"2020-04-26 22:21:11.996577+02"
26157,354,1,6939,5.99,"2020-04-26 22:46:17.996577+02"
26158,354,2,7148,0.99,"2020-04-27 06:32:35.996577+02"
26159,354,2,7235,2.99,"2020-04-27 09:37:56.996577+02"
26160,354,2,7241,0.99,"2020-04-27 09:54:15.996577+02"
26161,354,2,8321,4.99,"2020-04-29 03:19:20.996577+02"
26162,354,2,8477,8.99,"2020-04-29 08:09:02.996577+02"
26163,354,1,8609,4.99,"2020-04-29 12:47:51.996577+02"
26164,354,2,8921,0.99,"2020-04-30 01:32:28.996577+02"
26165,354,1,9130,2.99,"2020-04-30 09:23:36.996577+02"
31941,354,1,12759,7.98,"2020-05-14 14:44:29.996577+02"
31942,354,1,11782,0.00,"2020-05-14 14:44:29.996577+02"
